Full author list,First Author(s) & Year,Article Title,Application/Technology,Tech Used,Drone type,is_ag,DOI Link,Abstract,Country(ies),Tools,SEA_status,Section_relevance,In_manuscript
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaac41c0>,Liddy et al. (2023),Food mapping approaches for understanding food system transformations in rapid-growth city regions in the Global South,Food mapping approaches in city regions,NA (Review),,0,10.3389/fsufs.2023.1238124,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaac4220>,"Ethiopia, Vietnam, Colombia",<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaac4280>,SEA,Intro/Background,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaac4850>,Lima et al. (2024),Use of Phenomics in the Selection of UAV-Based Vegetation Indices and Prediction of Agronomic Traits in Soybean Subjected to Flooding,Soybean response to flooding,Drone,,0,10.3390/agriengineering6030186,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaac48b0>,Brazil,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaac4910>,Non-SEA → review for removal,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaac4ee0>,Littidej et al. (2024),Enhanced Rubber Yield Prediction in High-Density Plantation Areas Using a GIS and Machine Learning-Based Forest Classification and Regression Model,Rubber yield prediction,Satellite,,1,10.3390/f15091535,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaac4f40>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaac4fa0>,SEA,"2.1 Remote Sensing, 2.4 AI Models",Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaac5570>,Liu & Liu (2025),Reconstructed spatiotemporal changes of cropland in Vietnam from AD 1500 to 1950,Historical cropland reconstruction (1500-1950),NA (Historical data analysis),,1,10.1007/s10113-024-02339-9,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaac55d0>,Vietnam,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaac5630>,SEA,General,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaac5c00>,Liu et al. (2023),Consistency Analysis of Multi-Source Remote Sensing Land Cover Products in Arid Regions-A Case Study of Xinjiang,Land cover product consistency analysis,NA (Dataset comparison),,0,10.3390/land12122178,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaac5c60>,China (Xinjiang),<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaac5cc0>,Non-SEA → review for removal,General,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaac6290>,Liu et al. (2023),"A Comparison of Six Forest Mapping Products in Southeast Asia, Aided by Field Validation Data",Forest mapping product comparison,Satellite,,0,10.3390/rs15184584,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaac62f0>,Southeast Asia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaac6350>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaac6920>,Liu et al. (2025),Assessing Habitat Quality on Synergetic Land-Cover Dataset Across the Greater Mekong Subregion over the Last Four Decades,Habitat quality assessment,Satellite,,0,10.3390/rs17081467,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaac6980>,GMS (Mekong Subregion),<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaac69e0>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaac6fb0>,Liu et al. (2025),Land use and land cover classification and terrestrial ecosystem carbon storage changes in Vietnam based on Sentinel images,LULC classification & carbon storage changes,Satellite,,0,10.1038/s41598-025-04765-z,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaac7010>,Vietnam,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaac7070>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaac7640>,Loo et al. (2024),WildTechAlert: Deep Learning Models for Real-Time Detection of Elephant Presence Using Bioacoustics in an Early Warning System to Support Human-Elephant Coexistence,Elephant detection for human-wildlife conflict,Sensors (Bioacoustic),,0,10.1007/978-981-97-1417-9_36,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaac76a0>,Malaysia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaac7700>,SEA,2.2 IoT,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaac7cd0>,Luong & Bui (2023),"Determination of the most suitable indicator area and remote-sensing-based indices for early yield warning for winter-spring rice in the Central Highlands, Vietnam",Rice yield early warning system,Satellite,,1,10.1117/1.JRS.17.014504,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaac7d30>,Vietnam,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaac7d90>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaad83a0>,Luongl et al. (2024),"UAV hyperspectral image acquisition and processing, an application for nutrient estimation of rice in Vietnam",Nutrient estimation of rice,Drone,hs,1,10.15625/2615-9783/21306,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaad8400>,Vietnam,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaad8460>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaad8a30>,Luu et al. (2024),"Integrating susceptibility maps of multiple hazards and building exposure distribution: a case study of wildfires and floods for the province of Quang Nam, Vietnam",Multi-hazard exposure assessment,"NA (Machine Learning, Spatial Modeling)",,0,10.5194/nhess-24-4385-2024,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaad8a90>,Vietnam,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaad8af0>,SEA,2.4 AI Models,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaad90c0>,Luu et al. (2023),Flash flood and landslide susceptibility analysis for a mountainous roadway in Vietnam using spatial modeling,Flash flood & landslide susceptibility analysis,"NA (Machine Learning, Spatial Modeling)",,0,10.1016/j.qsa.2023.100083,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaad9120>,Vietnam,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaad9180>,SEA,2.4 AI Models,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaad9750>,Ma et al. (2025),Mapping utilizable rooftop areas to meet food security goal in four high-density cities: A deep learning and GIS integrated approach,Rooftop agriculture area mapping,"NA (GIS, Deep Learning)",,1,10.1016/j.scs.2024.106066,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaad97b0>,"Singapore, Hong Kong, Canada, Netherlands",<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaad9810>,SEA,2.4 AI Models,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaad9de0>,Mahavik et al. (2025),Spatiotemporal characteristics and diurnal patterns of pre-monsoon hailstorms in northern Thailand,Pre-monsoon hailstorm analysis,NA (GIS),,0,10.1007/s11069-025-07505-8,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaad9e40>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaad9ea0>,SEA,General,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaada470>,Manessa et al. (2023),Study of Rubber Leaf Disease using Hyperspectral Reflectance,Rubber leaf disease study,Sensors (Hyperspectral),,1,10.1117/12.2646516,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaada4d0>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaada530>,SEA,2.1 Remote Sensing; 2.2 IoT,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaadab00>,Mangkhaseum et al. (2024),"Harnessing Multi-satellite Remote Sensing Data and Machine Learning for Flood Risk Assessment in Nam Ngum River Basin, Lao PDR",Flood risk assessment,Satellite,,0,10.1117/12.3022819,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaadab60>,Laos,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaadabc0>,SEA,"2.1 Remote Sensing, 2.4 AI Models",No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaadb190>,Mangura et al. (2024),Digitalization in Indonesia's Agrifood Sector in the Wake of the COVID-19 Pandemic,Digital technology in agrifood sector,"NA (GIS, GPS)",,0,10.37801/ajad2024.21.1.6,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaadb1f0>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaadb250>,SEA,General,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaadb820>,Manimozhi & Krishnamoorthy (2025),Innovative Techniques in Agriculture: Transitioning From Traditional Farming to Precision and Hydroponic Agriculture,Precision & hydroponic agriculture review,"Satellite, IoT, Sensors",,1,10.1002/tqem.70047,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaadb880>,"Global (mentions India, Singapore)",<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaadb8e0>,SEA,2.1 Remote Sensing; 2.2 IoT; 3.2 Controlled Env; Intro/Background,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaadbeb0>,Mansyur et al. (2025),Historical Land Use and Land Cover Change of the Lake Tempe Region: A Multi-source Data Landscape Reconstruction,Historical LULC reconstruction,Satellite,,0,10.24259/fs.v9i1.33184,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaadbf10>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaadbf70>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaaf8580>,Mao et al. (2023),Land use and cover in subtropical East Asia and Southeast Asia from 1700 to 2018,Historical LULC reconstruction (1700-2018),Satellite,,0,10.1016/j.gloplacha.2023.104157,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaaf85e0>,Southeast Asia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaaf8640>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaaf8c10>,Maretanio et al. (2024),Estimation of Rice Field Area Using YOLO Method to Support Smart Agriculture System,Rice field area estimation,Drone,rgb,1,10.1109/IES63037.2024.10665762,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaaf8c70>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaaf8cd0>,SEA,"2.1 Remote Sensing, 2.4 AI Models",No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaaf92a0>,Mariyah & Wobcke (2025),"Evaluating area-level features for proxy means test models: evidence from rural, semi-urban and urban districts in poverty targeting",Poverty targeting models,Satellite,,0,10.1007/s42001-025-00405-8,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaaf9300>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaaf9360>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaaf9930>,Martviset et al. (2024),"Coproprevalence, seroprevalence, and geographic distribution of Fasciola spp. infection in beef and dairy cattle in Pak Chong highland, Nakhon-Ratchasima Province, Northeast Thailand",Livestock parasite infection distribution,NA (GIS),,0,10.1016/j.parint.2023.102809,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaaf9990>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaaf99f0>,SEA,General,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaaf9fc0>,Masruroh et al. (2025),"Comprehensive Assessment of Fuzzy-based Ecological Vulnerability Using PCA-Entropy-SRP Model and Weighted Multi-scenario Analysis Based on OWA Operator in Mondangan Watershed, Blitar Regency, East Java, Indonesia",Ecological vulnerability assessment,Satellite,,0,10.1007/s41748-025-00674-3,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaafa020>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaafa080>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaafa650>,Masruroh et al. (2023),A Spatial Model of Landslides with A Micro-Topography and Vegetation Approach for Sustainable Land Management in the Volcanic Area,Landslide spatial modeling,Drone,,0,10.3390/su15043043,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaafa6b0>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaafa710>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaaface0>,Mathur & Bhattacharya (2024),From pixels to patterns: review of remote sensing techniques for mapping shifting cultivation systems,Shifting cultivation mapping techniques review,NA (Review),,1,10.1007/s41324-023-00547-9,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaafad40>,Global (Tropics),<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaafada0>,Background (keep),Intro/Background,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaafb370>,Matsumoto-Takahashi et al. (2023),Deforestation inhibits malaria transmission in Lao PDR: a spatial epidemiology using Earth observation satellites,Deforestation impact on malaria transmission,Satellite,,0,10.1186/s41182-023-00554-4,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaafb3d0>,Laos,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaafb430>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaafba00>,Memarsadeghi et al. (2023),Understanding work-related travel and its relation to malaria occurrence in Thailand using geospatial maximum entropy modelling,Malaria occurrence & work-related travel,NA (Geospatial Modeling),,0,10.1186/s12936-023-04478-6,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaafba60>,"Thailand, Cambodia",<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaafbac0>,SEA,General,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab100d0>,Meyer et al. (2023),Three-Dimensional Visualization of Long-Range Atmospheric Transport of Crop Pathogens and Insect Pests,Crop pathogen & pest transport visualization,NA (Geospatial Data Visualization),,1,10.3390/atmos14060910,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab10130>,"East Africa, Southeast Asia",<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab10190>,SEA,General,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab10760>,Ming et al. (2023),Quantitative Assessment of Cropland Exposure to Agricultural Drought in the Greater Mekong Subregion,Cropland exposure to agricultural drought,Satellite,,1,10.3390/rs15112737,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab107c0>,GMS (Mekong Subregion),<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab10820>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab10df0>,Mirandilla et al. (2023),Leaf Spectral Analysis for Detection and Differentiation of Three Major Rice Diseases in the Philippines,Rice disease detection and differentiation,Sensors,,1,10.3390/rs15123058,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab10e50>,Philippines,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab10eb0>,SEA,2.2 IoT,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab11480>,Mohidem et al. (2024),Integration of Unmanned Aerial Vehicle and Multispectral Sensor for Paddy Growth Monitoring Application: A Review,Paddy growth monitoring,"Drone, Sensors (SPAD)",,1,10.47836/pjst.32.2.04,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab114e0>,Malaysia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab11540>,SEA,2.1 Remote Sensing; 2.2 IoT,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab11b10>,Mohsin & Suratman (2024),"Modelling the Above-Ground Biomass (AGB) of Eucalyptus Plantations using WorldView-2 Imagery in Sabah, Malaysia",Eucalyptus plantation biomass estimation,Satellite,,1,10.21834/e-bpj.v8iSI17.5455,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab11b70>,Malaysia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab11bd0>,SEA,2.1 Remote Sensing; 3.1 HTP/Phenotyping,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab121a0>,Montero-De La Torre et al. (2023),Day and night camera trap videos are effective for identifying individual wild Asian elephants,Individual elephant identification,Sensors (Camera Trap),,0,10.7717/peerj.15130,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab12200>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab12260>,SEA,2.2 IoT,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab12830>,Mortelmans et al. (2025),"Using hydrological modelling to improve the Fire Weather Index system over tropical peatlands of peninsular Malaysia, Sumatra and Borneo",Fire Weather Index for tropical peatlands,Satellite,,0,10.1071/WF24057,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab12890>,"Malaysia, Indonesia",<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab128f0>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab12ec0>,Mukhopadhyay et al. (2025),Using Artificial Intelligence and Deep Learning Algorithms to Extract Land Features from High-Resolution Pléiades Data,Land feature extraction from high-resolution data,Satellite,,0,10.1007/s12524-024-02077-9,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab12f20>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab12f80>,SEA,"2.1 Remote Sensing, 2.4 AI Models",No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab13550>,Mulyani et al. (2023),Potential Land Reserves for Agriculture in Indonesia: Suitability and Legal Aspect Supporting Food Sufficiency,Potential land reserves for agriculture,Satellite,,1,10.3390/land12050970,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab135b0>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab13610>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab13be0>,Muzykant et al. (2023),Infrastructure and Computation in a Smart City as e-Government Contemporary Competence,Smart city infrastructure & computation,Drone,,0,10.1007/978-981-19-7663-6_60,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab13c40>,"Indonesia, Russia",<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab13ca0>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba9302b0>,Myint et al. (2025),Detecting oil palm plantations and mangroves overlooked by IGBP land-cover products with ground-truthing from the sky across Southeast Asia,Oil palm plantation & mangrove detection,Satellite,,1,10.1016/j.tfp.2025.100950,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba930310>,Southeast Asia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba930370>,SEA,2.1 Remote Sensing,Yes
